hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,total_guests,total_nights,total_revenue,arrival_month_num,arrival_date,season,traveler_type,is_weekend_booking,has_special_request
City Hotel,0,19,2017,September,36,13,3,7,2,0,0,BB,FRA,Offline TA/TO,Direct,0,0,0,F,D,0,Non Refund,0,0,0,Transient,114.9,1,2,Check-Out,2015-09-18,2,10,1149.0,9,2017-09-13,Autumn,Leisure,1,1
Resort Hotel,0,71,2017,April,42,27,2,3,2,0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,D,B,3,No Deposit,4,1,0,Transient,107.1,0,1,Check-Out,2016-05-07,2,5,535.5,4,2017-04-27,Spring,Corporate,1,1
Resort Hotel,1,112,2017,June,20,6,4,1,2,1,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,2,0,0,Transient,102.98,0,1,Canceled,2018-08-29,3,5,514.9,6,2017-06-06,Summer,Group/Family,1,1
City Hotel,1,69,2018,August,9,1,0,3,1,2,0,SC,DEU,Offline TA/TO,GDS,0,2,0,A,A,0,No Deposit,0,0,0,Transient,128.56,0,1,Canceled,2017-03-04,3,3,385.68,8,2018-08-01,Summer,Group/Family,0,1
City Hotel,0,267,2018,July,26,6,1,2,2,1,0,HB,FIN,Online TA,Direct,0,1,0,D,D,2,No Deposit,0,0,0,Transient,122.52,0,4,Check-Out,2017-03-17,3,3,367.56,7,2018-07-06,Summer,Group/Family,1,1
City Hotel,0,151,2019,September,34,13,3,4,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,B,0,No Deposit,0,1,0,Transient,111.41,1,1,Check-Out,2016-10-18,2,7,779.87,9,2019-09-13,Autumn,Corporate,1,1
City Hotel,1,120,2016,December,46,13,1,1,4,0,0,Undefined,NLD,Corporate,GDS,0,0,0,B,B,0,No Deposit,0,0,2,Transient-Party,68.61,0,2,Canceled,2018-07-20,4,2,137.22,12,2016-12-13,Winter,Group/Family,1,1
Resort Hotel,0,171,2018,March,34,13,1,1,2,0,0,HB,POL,Online TA,Corporate,0,0,0,A,A,1,Non Refund,0,0,0,Contract,72.07,0,1,Check-Out,2016-09-26,2,2,144.14,3,2018-03-13,Spring,Leisure,1,1
City Hotel,1,23,2018,September,2,20,0,3,4,1,0,BB,POL,Direct,Corporate,0,0,0,B,A,0,No Deposit,0,0,0,Contract,106.12,3,1,Canceled,2018-12-01,5,3,318.36,9,2018-09-20,Autumn,Group/Family,0,1
Resort Hotel,0,120,2018,May,13,4,4,3,3,0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,0,0,Transient,69.51,0,5,Check-Out,2016-02-23,3,7,486.57,5,2018-05-04,Spring,Group/Family,1,1
